text                                                                                                                                                                                                                                                         , label     , notes
I've found that playing Jinx with a Trinity Force and Essence Reaver gives me the burst damage I need to take out enemies quickly.                                                                                                                           , strategy  , build recommendation
"When playing against Thresh, try to stay behind your minions to avoid his hook."                                                                                                                                                                            , strategy  , champion counter strategy
"I've been experimenting with a tanky Lee Sin build that includes a Dead Man's Plate and a Randuin's Omen, it's been working out pretty well."                                                                                                               , strategy  , build recommendation
"To improve your mechanics on Yasuo, practice last-hitting minions with your sword."                                                                                                                                                                         , strategy  , mechanical practice
"Ahri's charm is super powerful, use it to lock down enemies during team fights."                                                                                                                                                                            , strategy  , champion ability usage
"Garen's spin is a great tool for chasing down enemies, but be careful not to overextend."                                                                                                                                                                   , strategy  , champion ability usage
"When playing top lane, try to take the enemy's tower as soon as possible to deny them gold and experience."                                                                                                                                                 , strategy  , lane strategy
I like to build a Nashor's Tooth on Azir for the attack speed and ability power.                                                                                                                                                                             , strategy  , build recommendation
"To avoid getting caught out by assassins, stay near your support and keep an eye on the minimap."                                                                                                                                                           , strategy  , general safety tip
Playing Nami with a Morellonomicon and a Redemption gives me a lot of utility and healing for my team.                                                                                                                                                       , strategy  , build recommendation
"In team fights, try to position yourself so that you're attacking the enemy from the side or behind, it makes it harder for them to retaliate."                                                                                                             , strategy  , general team fight strategy
I've found that taking Smite on Sejuani gives me an extra layer of security when taking objectives.                                                                                                                                                          , strategy  , summoner spell choice
"When playing against a marksman, try to stay behind your minions and use your abilities to harass them from a distance."                                                                                                                                    , strategy  , champion counter strategy
Building a Frozen Heart on Janna gives me a lot of utility and crowd control for my team.                                                                                                                                                                    , strategy  , build recommendation
"To improve your map awareness, make it a habit to glance at the minimap every few seconds."                                                                                                                                                                 , strategy  , general game sense tip
"I like to play Ekko with a Hextech Gunblade and a Essence Reaver, it gives me a lot of burst damage and sustain."                                                                                                                                           , strategy  , build recommendation
"When playing as a jungler, try to gank lanes as soon as possible to get your teammates ahead."                                                                                                                                                              , strategy  , jungler strategy
Playing LeBlanc with a Luden's Echo and a Void Staff gives me a lot of ability power and burst damage.                                                                                                                                                       , strategy  , build recommendation
"To avoid getting kited by enemies, try to stay mobile and use your abilities to close the distance quickly."                                                                                                                                                , strategy  , general chasing strategy
I've found that building a Thornmail on Galio gives me a lot of tankiness and crowd control for my team.                                                                                                                                                     , strategy  , build recommendation
"When playing against a team with a lot of crowd control, try to stay spread out and avoid clumping up."                                                                                                                                                     , strategy  , general team fight strategy
Playing Anivia with a Rabadon's Deathcap and a Seraph's Embrace gives me a lot of ability power and sustain.                                                                                                                                                 , strategy  , build recommendation
"To improve your warding, try to ward in key areas such as river and objectives."                                                                                                                                                                            , strategy  , general warding strategy
"I like to play Swain with a Liandry's Torment and a Demonic Embrace, it gives me a lot of sustain and damage over time."                                                                                                                                    , strategy  , build recommendation
